Date,Opponent,Won,Forfeited,Overworld,Nether Nav,Bastion,Fortress,Blind,Stronghold,End,Total,Seed,Bastion Type,Deaths,Resets
2026-02-01 15:21:38,444Atlas,True,False,0:03:08,0:01:20,0:04:17,0:02:10,0:05:02,0:00:47,0:02:27,0:19:23,SHIPWRECK,HOUSING,0,0
2026-02-01 14:58:29,froglegs56,True,False,0:04:09,0:00:09,0:11:31,0:02:57,0:10:08,0:01:39,0:02:46,0:33:32,SHIPWRECK,STABLES,1,0
2026-02-01 12:47:52,ThrowForRNG,True,False,0:02:07,0:00:12,0:07:15,0:02:19,0:02:14,0:01:20,0:02:42,0:18:22,RUINED_PORTAL,HOUSING,0,0
2026-02-01 11:29:42,Dentum,True,False,0:04:06,0:00:09,0:08:42,0:03:18,0:05:25,0:01:27,0:01:45,0:34:09,SHIPWRECK,STABLES,2,1
2026-02-01 10:53:18,ymkwon,False,False,0:05:50,0:00:29,0:05:37,0:02:08,0:03:58,0:02:38,,0:21:02,VILLAGE,STABLES,0,0
2026-01-31 14:52:02,Shining_Sprinter,False,False,0:06:24,0:00:33,0:08:21,0:02:29,0:06:17,0:00:57,,0:26:16,SHIPWRECK,HOUSING,0,0
2026-01-31 14:22:57,Just_Jaxx,False,True,0:04:20,0:00:21,,,,,,0:06:54,VILLAGE,BRIDGE,1,0
2026-01-31 14:11:38,clearpy,True,False,0:03:43,0:00:05,0:10:29,0:03:27,0:03:28,0:02:12,0:02:57,0:26:33,VILLAGE,TREASURE,1,0
2026-01-31 11:30:09,GenForMe,True,False,0:02:37,0:01:44,0:10:15,0:03:29,0:02:57,0:05:10,0:00:57,0:27:23,RUINED_PORTAL,HOUSING,0,0
2026-01-31 10:46:24,ceskejmop,False,True,0:01:38,0:00:49,,,,,,0:12:24,RUINED_PORTAL,TREASURE,3,1
2026-01-31 10:31:56,Garden_hoes,False,False,0:03:31,0:01:28,0:06:08,0:03:01,0:07:10,,,0:27:46,VILLAGE,TREASURE,0,0
2026-01-31 10:02:20,Smalls_3,True,False,0:03:59,0:01:16,0:05:52,0:02:31,0:02:34,0:02:00,0:04:32,0:22:57,RUINED_PORTAL,BRIDGE,0,0
2026-01-31 09:36:12,Cold_Piano,True,False,0:04:23,0:01:07,0:06:04,0:04:30,0:04:30,0:01:30,0:02:41,0:24:59,DESERT_TEMPLE,HOUSING,0,0
2026-01-31 07:29:05,iN4T3,True,False,0:04:18,0:00:27,0:04:21,0:01:53,0:03:35,0:02:00,0:08:30,0:28:26,SHIPWRECK,TREASURE,0,1
2026-01-31 06:59:23,CarsonPumas,True,True,0:02:32,0:00:54,,,,,,0:05:35,RUINED_PORTAL,STABLES,0,0
