Date,Opponent,Won,Forfeited,Overworld,Portal,Nether Nav,Bastion Route,Bartering,Fortress Nav,Blazes,Blind,Stronghold,End,Total,Seed,Bastion Type,Deaths,Resets
2026-01-27 10:58:17,SettledNomad01,True,False,0:04:01,0:00:14,0:01:24,0:01:46,0:03:00,0:00:10,0:02:26,0:03:39,0:02:36,0:01:39,0:21:09,VILLAGE,BRIDGE,0,0
2026-01-27 10:34:11,LolBlazo,False,True,,,,,,,,,,,0:21:05,DESERT_TEMPLE,HOUSING,1,1
2026-01-27 09:26:43,Shroomie_Matsuo,True,False,0:04:29,0:00:16,0:00:49,0:02:40,0:03:33,0:00:23,0:01:37,0:04:19,0:01:47,0:10:35,0:30:43,VILLAGE,HOUSING,0,0
2026-01-25 09:50:21,SpiweSeven,True,False,0:04:27,0:00:27,0:01:20,0:01:13,0:07:19,0:00:45,0:03:57,0:04:56,0:02:30,0:01:12,0:28:22,VILLAGE,HOUSING,0,0
2026-01-25 09:20:16,SweetGrapeee,True,True,0:04:51,0:00:25,0:01:30,0:03:29,0:02:34,,,,,,0:15:02,VILLAGE,BRIDGE,1,0
2026-01-25 09:01:06,anomamorph,True,False,0:04:52,0:01:15,0:01:53,0:06:08,0:00:18,0:01:52,0:03:44,0:00:37,0:01:37,,0:22:30,VILLAGE,BRIDGE,0,0
2026-01-25 08:36:52,cashdrop_,False,False,0:03:50,0:00:26,0:00:53,0:04:41,0:03:35,0:00:24,0:01:50,0:02:41,0:00:47,,0:22:36,DESERT_TEMPLE,STABLES,0,0
2026-01-25 08:12:01,leothepickle,True,False,0:03:55,0:00:25,0:01:17,0:03:52,0:01:20,0:00:22,0:01:54,0:08:10,0:04:35,0:01:16,0:31:48,VILLAGE,STABLES,0,2
2026-01-25 07:39:03,NekoTrack,True,False,0:03:58,0:00:30,0:00:20,0:04:13,0:05:01,0:01:38,0:00:58,0:01:57,0:05:15,0:02:24,0:32:40,VILLAGE,STABLES,2,0
2026-01-25 06:35:12,Xandolf_,True,False,0:03:59,0:00:36,0:00:13,0:02:50,0:05:37,0:00:03,0:01:47,0:03:25,0:02:32,0:02:04,0:30:13,VILLAGE,STABLES,0,1
2026-01-23 17:17:17,Cristunal,False,False,0:03:27,0:00:21,0:01:53,0:01:38,0:05:35,0:03:37,0:01:16,,,,0:24:14,SHIPWRECK,TREASURE,0,1
2026-01-23 16:50:16,kunnnefe,False,True,0:04:15,0:00:41,0:01:46,0:00:35,,,,,,,0:28:22,DESERT_TEMPLE,BRIDGE,4,1
2026-01-23 16:17:56,WombatsFly,True,True,0:03:42,0:02:22,0:02:07,0:01:53,0:03:32,0:02:02,0:02:03,,,,0:18:18,VILLAGE,HOUSING,0,0
2026-01-23 15:52:33,Bubi77,False,False,0:04:36,0:02:42,0:02:38,0:03:56,0:00:30,0:06:48,0:02:49,0:09:06,,,0:33:11,RUINED_PORTAL,HOUSING,0,0
2026-01-23 15:12:16,umaifishy,True,False,0:04:17,0:00:31,0:01:17,0:01:08,0:07:08,0:01:09,0:02:59,0:18:26,0:01:55,0:01:24,0:40:28,DESERT_TEMPLE,HOUSING,0,0
2026-01-23 13:03:15,_Resh,True,False,0:03:31,0:00:39,0:01:40,0:00:52,0:04:10,0:06:13,0:05:48,0:02:05,0:11:01,0:02:01,0:40:54,SHIPWRECK,HOUSING,1,0
2026-01-18 08:26:06,Calta_,False,False,0:05:31,0:00:23,0:00:29,0:02:12,0:04:17,0:00:55,0:01:56,0:05:09,0:07:42,,0:28:54,DESERT_TEMPLE,HOUSING,0,0
2026-01-18 07:34:56,13Odysseus,False,True,0:05:16,0:00:47,0:00:33,0:04:36,0:01:55,0:00:44,0:01:02,0:13:31,,,0:33:34,SHIPWRECK,BRIDGE,0,0
2026-01-18 06:58:32,asphaltdream,True,False,0:04:23,0:00:15,0:01:30,0:00:33,0:06:25,0:00:16,0:04:47,0:04:22,0:03:15,0:02:54,0:28:53,VILLAGE,HOUSING,0,0
2026-01-18 05:59:15,zSPC,True,True,0:04:09,0:00:24,0:01:48,0:02:18,0:05:52,0:00:35,0:03:14,,,,0:23:40,VILLAGE,STABLES,0,0
2026-01-18 05:30:03,09Dragon_Heart,True,False,0:05:32,0:01:01,0:02:21,0:03:16,0:05:24,0:01:50,0:01:44,0:03:27,0:02:36,0:01:41,0:29:07,SHIPWRECK,TREASURE,0,0
2026-01-17 10:14:01,1kier,True,True,0:05:44,0:00:16,0:00:56,0:00:48,0:03:28,0:06:12,0:00:50,0:04:25,,,0:23:41,VILLAGE,TREASURE,1,0
2026-01-17 09:30:15,Migsej,True,False,0:06:22,0:00:24,0:01:57,0:02:04,0:04:06,0:00:58,0:03:19,0:06:02,0:02:12,0:01:41,0:29:19,VILLAGE,STABLES,0,0
2026-01-17 08:30:58,Mr_PenguinMC,True,False,0:04:45,0:00:26,0:00:09,0:03:55,0:03:53,0:00:40,0:02:40,0:04:24,0:09:06,0:02:01,0:35:17,VILLAGE,STABLES,1,0
2026-01-17 07:52:52,thatPERS0N,True,True,0:06:17,0:00:25,0:00:09,0:00:10,0:06:30,0:04:10,0:00:19,0:02:08,,,0:24:20,VILLAGE,BRIDGE,1,0
2026-01-17 07:26:28,MapleFireExists,True,True,0:03:35,0:00:25,0:00:57,0:01:33,,,,,,,0:13:27,VILLAGE,HOUSING,0,0
